material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
plexiglas_7C82,173.232,12.095,#N/A,,173.232,26.786,#N/A,,173.232,45.1541850220264,#N/A,#N/A,#N/A
plexiglas_7C82,173.496,9.5,12.095,,173.496,28.501,26.786,,173.496,33.3321637837269,0.451541850220264,45.1541850220264,#N/A
plexiglas_7C82,173.761,8.429,11.8355,,173.761,31.911,26.9575,,173.761,26.4140891855473,0.439042937957897,43.9042937957897,#N/A
plexiglas_7C82,174.025,9.262,11.49485,,174.025,31.675,27.45285,,174.025,29.240726124704,0.418712446977272,41.8712446977272,#N/A
plexiglas_7C82,174.29,10.329,11.271565,,174.29,32.086,27.875065,,174.29,32.191610047996,0.404360133330631,40.4360133330631,#N/A
plexiglas_7C82,174.555,11.565,11.1773085,,174.555,34.241,28.2961585,,174.555,33.7752986186151,0.39501151719941,39.501151719941,#N/A
plexiglas_7C82,174.819,13.838,11.21607765,,174.819,36.968,28.89064265,,174.819,37.4323739450335,0.388225273694284,38.8225273694284,#N/A
plexiglas_7C82,175.084,12.747,11.478269885,,175.084,38.604,29.698378385,,175.084,33.0198943114703,0.386494836054666,38.6494836054666,#N/A
plexiglas_7C82,175.348,12.02,11.6051428965,,175.348,38.968,30.5889405465,,175.348,30.8458222130979,0.379390155041766,37.9390155041766,#N/A
plexiglas_7C82,175.613,11.201,11.64662860685,,175.613,39.24,31.42684649185,,175.613,28.5448521916412,0.370594886441131,37.0594886441131,#N/A
plexiglas_7C82,175.877,11.474,11.602065746165,,175.877,40.604,32.208161842665,,175.877,28.2582996749089,0.360221294305475,36.0221294305475,#N/A
plexiglas_7C82,176.142,13.656,11.5892591715485,,176.142,41.24,33.0477456583985,,176.142,33.1134820562561,0.350682291353307,35.0682291353307,#N/A
plexiglas_7C82,176.406,16.474,11.7959332543937,,176.406,39.694,33.8669710925587,,176.406,41.5024940797098,0.348301984908992,34.8301984908993,#N/A
plexiglas_7C82,176.671,16.928,12.2637399289543,,176.671,37.24,34.4496739833028,,176.671,45.4564983888292,0.355990014155093,35.5990014155093,#N/A
plexiglas_7C82,176.935,17.383,12.7301659360589,,176.935,36.058,34.7287065849725,,176.935,48.2084419546287,0.366560323947317,36.6560323947317,#N/A
plexiglas_7C82,177.2,17.656,13.195449342453,,177.2,36.421,34.8616359264753,,177.2,48.4775267016282,0.378509183283388,37.8509183283388,#N/A
plexiglas_7C82,177.464,17.565,13.6415044082077,,177.464,35.512,35.0175723338277,,177.464,49.4621536382068,0.389561682864854,38.9561682864854,#N/A
plexiglas_7C82,177.729,18.474,14.0338539673869,,177.729,36.33,35.067015100445,,177.729,50.8505367464905,0.400200984520317,40.0200984520317,#N/A
plexiglas_7C82,177.993,20.474,14.4778685706482,,177.993,36.876,35.1933135904005,,177.993,55.5212062045775,0.411381228239824,41.1381228239824,#N/A
plexiglas_7C82,178.258,20.837,15.0774817135834,,178.258,36.876,35.3615822313604,,178.258,56.5055862891854,0.426380290761196,42.6380290761196,#N/A
