material,wavelength_nm,intensity,intensity_smoothed,,wavelength_nm2,intensity_i0,intensity_i0_smoothed,,wavelength_nm3,,transmission,transmission_perc,transmission_perc_smoothed
plexiglas_0A000,173.232,26.786,#N/A,,173.232,26.786,#N/A,,173.232,100,#N/A,#N/A,#N/A
plexiglas_0A000,173.496,28.501,26.786,,173.496,28.501,26.786,,173.496,100,1,100,#N/A
plexiglas_0A000,173.761,31.911,26.9575,,173.761,31.911,26.9575,,173.761,100,1,100,#N/A
plexiglas_0A000,174.025,31.675,27.45285,,174.025,31.675,27.45285,,174.025,100,1,100,#N/A
plexiglas_0A000,174.29,32.086,27.875065,,174.29,32.086,27.875065,,174.29,100,1,100,#N/A
plexiglas_0A000,174.555,34.241,28.2961585,,174.555,34.241,28.2961585,,174.555,100,1,100,#N/A
plexiglas_0A000,174.819,36.968,28.89064265,,174.819,36.968,28.89064265,,174.819,100,1,100,#N/A
plexiglas_0A000,175.084,38.604,29.698378385,,175.084,38.604,29.698378385,,175.084,100,1,100,#N/A
plexiglas_0A000,175.348,38.968,30.5889405465,,175.348,38.968,30.5889405465,,175.348,100,1,100,#N/A
plexiglas_0A000,175.613,39.24,31.42684649185,,175.613,39.24,31.42684649185,,175.613,100,1,100,#N/A
plexiglas_0A000,175.877,40.604,32.208161842665,,175.877,40.604,32.208161842665,,175.877,100,1,100,#N/A
plexiglas_0A000,176.142,41.24,33.0477456583985,,176.142,41.24,33.0477456583985,,176.142,100,1,100,#N/A
plexiglas_0A000,176.406,39.694,33.8669710925587,,176.406,39.694,33.8669710925587,,176.406,100,1,100,#N/A
plexiglas_0A000,176.671,37.24,34.4496739833028,,176.671,37.24,34.4496739833028,,176.671,100,1,100,#N/A
plexiglas_0A000,176.935,36.058,34.7287065849725,,176.935,36.058,34.7287065849725,,176.935,100,1,100,#N/A
plexiglas_0A000,177.2,36.421,34.8616359264753,,177.2,36.421,34.8616359264753,,177.2,100,1,100,#N/A
plexiglas_0A000,177.464,35.512,35.0175723338277,,177.464,35.512,35.0175723338277,,177.464,100,1,100,#N/A
plexiglas_0A000,177.729,36.33,35.067015100445,,177.729,36.33,35.067015100445,,177.729,100,1,100,#N/A
plexiglas_0A000,177.993,36.876,35.1933135904005,,177.993,36.876,35.1933135904005,,177.993,100,1,100,#N/A
plexiglas_0A000,178.258,36.876,35.3615822313604,,178.258,36.876,35.3615822313604,,178.258,100,1,100,#N/A
plexiglas_0A000,178.523,37.694,35.5130240082244,,178.523,37.694,35.5130240082244,,178.523,100,1,100,#N/A
plexiglas_0A000,178.787,36.057,35.731121607402,,178.787,36.057,35.731121607402,,178.787,100,1,100,#N/A
plexiglas_0A000,179.052,35.148,35.7637094466618,,179.052,35.148,35.7637094466618,,179.052,100,1,100,#N/A
plexiglas_0A000,179.316,36.148,35.7021385019956,,179.316,36.148,35.7021385019956,,179.316,100,1,100,#N/A
